where,opponent,yearStart,yearEnd,matches,won,lost,draw,pointsFor,pointsAgainst
home,Argentina,1949,2019,52,37,14,1,1266,818
home,Australia,1928,2016,47,18,27,2,825,1016
home,Lions XV,1989,1989,1,0,1,0,27,29
home,British Army,1940,1945,2,1,1,0,24,45
home,Canada,1991,2015,9,8,1,0,315,119
home,Czechia,1956,1968,2,2,0,0,47,9
home,England,1906,2019,105,40,58,7,1336,1702
home,Fiji,1964,2018,10,9,1,0,373,132
home,Georgia,2007,2007,1,1,0,0,64,7
home,Germany,1927,1938,15,13,2,0,298,89
home,Ireland,1909,2019,99,57,35,7,1567,1180
home,Italy,1937,2019,42,39,3,0,1270,481
home,Ivory Coast,1995,1995,1,1,0,0,54,18
home,Japan,1973,2017,4,3,0,1,151,91
home,Kiwis,1946,1946,1,0,1,0,9,14
home,Namibia,1999,2007,2,2,0,0,134,23
home,New Zealand,1906,2018,61,12,48,1,801,1596
home,NZ Maori,1926,1926,1,0,1,0,3,12
home,Pacific Is,2008,2008,1,1,0,0,42,17
home,Romania,1924,2015,50,40,8,2,1315,462
home,Samoa,1999,2016,4,4,0,0,156,49
home,Scotland,1910,2019,95,55,37,3,1401,1180
home,South Africa,1913,2018,44,11,27,6,662,939
home,Tonga,1995,2019,6,4,2,0,172,96
home,USA,1920,2019,8,7,1,0,214,102
home,Wales,1908,2019,100,45,52,3,1431,1487
home,Zimbabwe,1987,1987,1,1,0,0,70,12
away,Argentina,1949,2016,34,24,9,1,866,495
away,Australia,1961,2014,29,9,19,1,635,726
away,Canada,1994,2004,2,1,1,0,63,31
away,Czechia,1968,1968,1,1,0,0,19,6
away,England,1907,2019,56,16,35,5,748,1014
away,Fiji,1998,1998,1,1,0,0,34,9
away,France,1906,2019,365,232,121,12,7144,4917
away,Germany,1927,1938,8,6,2,0,119,53
away,Ireland,1909,2019,50,23,22,5,665,676
away,Italy,1952,2019,18,16,2,0,509,179
away,Japan,2019,2019,4,3,1,0,98,71
away,New Zealand,1961,2018,40,11,28,1,691,956
away,Romania,1938,2006,24,17,7,0,471,267
away,Samoa,1999,1999,1,1,0,0,39,22
away,Scotland,1910,2019,45,18,26,1,552,639
away,South Africa,1958,2017,29,11,13,5,532,615
away,Tonga,1999,1999,1,0,1,0,16,20
away,USA,1976,2004,4,4,0,0,123,57
away,Wales,1908,2018,54,18,34,2,719,999
